Employee Number (Person),Employment Status (Person),Post Type (Post Profile),Appointment Status (Appointment),Pay Group (Person),Full Name (Person),Grade,Post Title (Post Profile),Directorate,Department,Family Friendly Absence Days,Absence Days,Sick Days,Certified Sick Days,Certified Sick Paid Days,Certified Sick Unpaid Days,Self Certified Sick Days,Self Certified Sick Paid Days,Annual Accrued Entitlement,Annual Floating Entitlement,Annual Carried Forward,Annual Total Entitlement,Annual Taken,Annual Balance,Annual Booked,Annual Balance Less Booked
100050,Live,PW,CO,SALARIES,Cassandra Hamilton,6,WHEELED BIN SERV MAN,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101196,100254,No Sick Leave Record,100313,0,30,4.5,17.5,16.5,7,0,No Annual Leave Record
101125,Live,PW,CO,SALARIES,Michelle Hernandez,6,ASSISTANT STOREKEEPER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100160,100978,No Sick Leave Record,100186,0,31,3,33,No Annual Leave Record,9.5,3,8.5
101275,Live,PW,CO,SALARIES,Cynthia Smith,5.5,GENERAL OPERATIVE,"COMMUNITY, CULTURAL SERVICES & PARKS",HARBOUR,No Sick Leave Record,No Sick Leave Record,7,10.5,100871,100546,0,100451,0,23.5,2,30,No Annual Leave Record,7.5,3,4
100271,Live,PW,CO,SALARIES,Jonathan Bell,6,LAW AGENT,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,0,0,No Sick Leave Record,No Sick Leave Record,101156,100327,No Sick Leave Record,100373,0,No Annual Leave Record,0,35,5,20,9,6
100115,Live,PW,CO,SALARIES,Amy Burnett,7,GARDENER,"COMMUNITY, CULTURAL SERVICES & PARKS",FINANCE,0,0.5,No Sick Leave Record,No Sick Leave Record,100573,100183,0,101096,0,30,0,29.5,22,3,13,2.5
101212,Live,PW,CO,SALARIES,Linda Johnson,6,SENIOR ENGINEER,"COMMUNITY, CULTURAL SERVICES & PARKS",LAW,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,20,100650,101095,1,100762,0,24,3,30,30,6.5,0,5
100096,Live,PW,CO,SALARIES,William Graham,No Grade,EXECUTIVE ARCHITECT,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,0,101319,100712,0,100558,0,28.5,3,19.5,17,9.5,No Annual Leave Record,5
100729,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Brian Collier,No Grade,SENIOR EXECUTIVE ENGINEER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100741,100000,0,100302,0,24,5,32,9.5,14.5,8,24
100629,,PW,CO,SALARIES,Julie Cline,5,ASSISTANT FOREMAN OF WORKS,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100951,100041,No Sick Leave Record,101170,No Annual Leave Record,30,6,7.5,22.5,18.5,0,8
100351,Live,TW,CO,SALARIES,Jeffrey Nelson,No Grade,LIFEGUARD,"COMMUNITY, CULTURAL SERVICES & PARKS",PLANNING,0,20.29,1,No Sick Leave Record,100851,100557,No Sick Leave Record,100667,0,30,5,No Annual Leave Record,20,26,0,10
101298,Live,PW,CO,FORTNIGHTLY WAGES - DLR,David Orr,No Grade,CHARGEHAND GARDEN,"COMMUNITY, CULTURAL SERVICES & PARKS",HUMAN RESOURCES,No Sick Leave Record,6.53,No Sick Leave Record,No Sick Leave Record,100581,101296,No Sick Leave Record,100618,0,No Annual Leave Record,0,33,9,13.5,7,0
